time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1995.83,640.027,183.3589,199.9102,10.5216,44.3226,162.5161,39.3978,116.8354,188.2811,151.2266,791.7547,6107.037,1480.491,468.255,242.1335,38.4198,39.9515,28.9654,68.5993,797.6165,2538.203,2974.452,151.8721,261.503,187.3083,-12.9229,84.6134,79.9038,0.446,2.47843,3.699166667,N_addition
1995.92,640.027,183.3589,199.9102,10.5216,44.3226,162.5161,39.3978,0.683,171.4546,148.1955,789.3829,6103.99,1479.751,539.2369,243.6827,71.4613,47.212,31.025,68.2809,797.5026,2538.356,2974.494,145.4093,261.0176,187.3076,-12.921,84.6348,79.8987,0.284516129,-0.3591806452,-1.644032258,N_addition
1996,0,0,0,0,0,0,0,0.683,154.1367,144.7024,787.0182,6100.933,1479.012,534.9441,245.9474,68.4882,55.8651,32.6186,68.4548,797.5706,2538.361,2974.524,145.3962,260.6967,187.2959,-12.9187,84.674,79.8913,0.2138709677,-0.08228064516,-3.636290323,N_addition
1996.08,0,0,0,0,0,0,0,0.683,137.902,141.1288,784.6605,6097.886,1478.274,531.0955,248.1615,66.0247,63.5014,33.8493,69.0213,797.677,2538.387,2974.547,145.3848,260.396,187.2813,-12.9145,84.7125,79.8873,0.2239285714,0,-7.123214286,N_addition
1996.17,0,0,0,0,0,0,0,0.683,123.345,137.6357,782.31,6094.837,1477.536,527.6792,250.0552,63.9608,69.3437,34.795,69.8765,797.8028,2538.358,2974.578,145.3776,260.1229,187.2679,-12.9142,84.7389,79.8828,0.5174193548,0,-0.09193548387,N_addition
1996.25,0,0,0,0,0,0,0,0.683,110.272,134.2143,779.9665,6091.794,1476.798,523.4784,251.5983,61.1864,73.788,35.7281,70.9277,797.9819,2538.464,2974.601,145.4016,259.7902,187.2589,-12.91,84.7637,79.8867,0.329,7.40493,7.678333333,N_addition
1996.33,33.2611,29.935,3.1598,0.1663,0,0,0,30.618,103.3203,131.7619,777.63,6088.748,1476.058,515.3572,251.428,55.0307,70.4893,36.9041,72.7741,798.3562,2538.675,2974.65,145.5464,259.1888,187.2458,-12.9069,84.7232,79.8932,0.09161290323,14.81021935,13.50080645,N_addition
1996.42,177.4788,154.442,21.8849,1.1518,0,0,0,155.125,111.5157,131.7715,775.3005,6085.705,1475.32,506.3763,251.4321,48.8193,68.2465,37.5118,73.9528,798.8041,2539.61,2974.694,145.722,258.5137,187.2401,-12.9047,84.7041,79.9127,0.2863333333,18.68558667,17.1925,N_addition
1996.5,226.6718,182.2072,42.2414,2.2232,0,0,0,182.8901,117.5322,133.1301,772.978,6082.658,1474.584,489.0048,251.4159,38.1957,63.7121,37.1852,75.0937,799.6057,2542.096,2974.756,146.1037,257.2154,187.2621,-12.9011,84.6958,79.9729,0.5006451613,20.98362581,19.74435484,N_addition
1996.58,392.2964,183.7633,111.6468,5.8761,16.3818,60.0668,14.5616,184.4462,164.8775,139.3436,787.0231,6139.671,1488.406,471.5845,250.6297,30.1556,55.3701,35.5564,76.1321,800.1388,2543.476,2974.859,146.4365,255.9064,187.2225,-12.8954,84.5844,79.9793,0.3458064516,20.51373871,19.74596774,N_addition
